web-scraper-order,web-scraper-start-url,Departments,Departments-href,Majors,Majors-href,Description
"1700729123-1","https://bigfuture.collegeboard.org/explore-careers/majors","Social Sciences
															
													
													Programs in social science focus on how individuals behave within society, how society works and the relationship between them.","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences","Major: Social Work","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences/social-work","As a social worker, you’ll advocate for change in ways that enhance people’s quality of life. Organizations were started in the 1800s in response to growing immigration, poverty, and urbanization issues. As social work initiatives increased, so did the demand for training. In 1898, Columbia University provided the first social work class. Then, in 1904, Simmons College and Harvard University collaborated to form the Boston School for Social Workers. Other schools, such as the Chicago School of Civics and Philanthropy, started in 1908.

No matter where you study, what demographic you choose to work with, or whether you choose a clinical or nonclinical organization, you’ll have a profound impact. That’s because you’ll be the voice for those often marginalized in society. You’ll address social injustices and help individuals and families navigate issues. 

Social work is a challenging career that focuses on the multifaceted problems people face within themselves and their environment. But helping people find the resources and ways to cope so that they lead fuller, healthier lives is a fulfilling part of the job. 

What does a student majoring in Social Work study? 

To help people improve their lives, a social work major will learn about human behavior and the social challenges people face. Your coursework and fieldwork will prepare you to have the knowledge and practical experience to advocate and problem solve for a diverse group of people. Here are some courses you may encounter when researching this academic track: 

Introduction to Social Work
	General Biology
	Social Welfare
	Public Health 
	Human Behavior
	Social Research
What can I do with a Social Work degree?

The type of social work clients you’ll work with depends on the sector you choose to work in: government agencies, health care, nonprofits, or schools. You can work with an age-specific group, such as older adults, or with a mix of ages from young to old. Either way, social work offers diversity in not only where you can work but also with whom. Career opportunities abound in this field. Here’s a sampling:

Child, Family, and School Social Workers
	Community Health Workers
	Recreation Workers
	Social and Community Service Managers
	Social and Human Service Assistants
Specializations for a Social Work Major:

Substance Abuse Treatment
	Human Rights and Social Justice
	Community Organization
	Program Development
	Leadership and Supervision
	Policy Practice
What are the requirements for a Social Work degree? 

To earn a degree in social work and prepare yourself for a career, you’d be wise to build a solid foundation of both courses and practical field experience. Social work programs accredited by the Council on Social Work Education will outline the requirements to ensure you’re adequately equipped to start a career and, if you choose, begin a master’s degree in social work."
"1700729125-2","https://bigfuture.collegeboard.org/explore-careers/majors","Social Sciences
															
													
													Programs in social science focus on how individuals behave within society, how society works and the relationship between them.","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences","Major: Psychology","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences/psychology","During the covid-19 pandemic, many reconnected with abandoned hobbies or developed new ones─bread making sound familiar to anyone? But while many passed the time baking bread or sharing TikTok videos of failed sourdough starters, others struggled. 

And a bevy of issues quickly inundated millions during the pandemic, resulting in a surge of mental health and substance abuse issues. In 2020, the American Psychological Association surveyed adults in the U.S. Two-thirds of the survey respondents reported an increase in pandemic-related stress. Pursuing a degree in psychology prepares you to help people cope with the harmful effects of the pandemic. But a degree in this field offers careers far beyond healthcare.

What does a student majoring in Psychology study? 

Examples of psychology occur in everyday situations:  A recent widower refuses to engage in activities they once enjoyed. A patient with a brain injury starts to act aggressively toward others. A company makes significant internal changes that result in high employee dissatisfaction and turnover. There’s a long line outside a retail shop and the promotional sign that says, “Limited Stock.”

These examples showcase the numerous ways in which psychology plays a role in our lives. Understanding the human mind and behavior—the way people think, feel, and act—underscores what one studies in the field of psychology. 

As a psychology major, you’ll take courses such as these:

Biological Psychology
	Behavioral Neuroscience
	Cognitive Psychology 
	Developmental Psychology
	Human Development
	Research Methodology
	Statistics
What can I do with a Psychology degree?

The opportunities are vast for careers in psychology:

A clinical psychologist can help with depressive signs of grief. Biopsychologists research the impact of brain damage, and neuropsychologists provide comprehensive, tailored treatments for brain injury patients.

But the work one can do in psychology isn’t limited to clinical settings alone. An industrial and organizational psychologist analyzes an organization’s issues and proposes solutions. And what about that long line of customers queuing outside a retail store? That’s the contribution of a consumer psychologist applying the scarcity principle: FOMO. Sound familiar?

Here are some careers opportunities to explore:

Health and Safety Engineers
	Social and Human Service Assistants
	Child, Family, and School Social Workers
	Social Science Research Assistants
	Training and Development Managers
Specializations for a Psychology Major:

Addiction Psychology
	Cultural Psychology
	Environmental Psychology
	Psychology of Aging 
	Human Services Psychology
What are the requirements for a Psychology degree? 

Besides meeting the core requirements each semester, set your sights on completing an internship. Also, with the guidance of a faculty adviser, conduct research and submit the findings in a bachelor thesis. You’ll gain practical experience while strengthening your analytical skills."
"1700729127-3","https://bigfuture.collegeboard.org/explore-careers/majors","Social Sciences
															
													
													Programs in social science focus on how individuals behave within society, how society works and the relationship between them.","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences","Major: Political Science and Government","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences/political-science-government","Politics affects the air we breathe, the schools we attend, the jobs we do, the communities we live in, and the taxes we pay. If you choose this major, you’ll learn the principles at work behind the decisions that affect every aspect of our lives.

Whether they're conservative or liberal, cynical or idealistic, one common characteristic among political science and government majors is their addiction to politics. If active engagement in the political system is for you, a political science major is a great way to get started. 

Political science and government majors study the systems people set up to organize their societies, from neighborhoods to nations.

“I took a required class [during] winter session called War and Peace. It was challenging because it was broadly based on conflicts in different societies, [such as the war between] the Croats and Serbs.”Lakethia, junior, political science, San Jose State University 

Are You Ready To...?

Write a senior thesis (long research paper) on, for example, environmental regulation during the Reagan era or the birth control policy in China
	Join a political science club or campus political organization
	Campaign for a local or national candidate
	Make valuable contacts in class and through internships and volunteer work
	Study the political ideas of everyone from Plato to bell hooks
	Write papers on current topics, such as homeland security or the public financing of new stadiums
It Helps To Be...

Able to argue your point. There are many controversial topics in political science, and students can often get into heated discussions. Start sharpening your debating skills now.

College Checklist

Does the department, or the professors in it, have a particular political leaning? Is it compatible with your views?
	Will you be able to specialize in an area such as international relations or political economy?
	Does the program require you to minor in a related field, such as economics or sociology?
	Will you have the chance to write a senior thesis or complete another capstone project?
	Will the department help you find internships in such places as government offices and public policy organizations?
	Does the program offer a semester in Washington, D.C.?
	Will you have the chance to study politics abroad?
Did You Know?

Knowing a foreign language can be very useful in political science, whether you interview Cuban refugees in Spanish or read Karl Marx’s Das Capital in the original German.

Course Spotlight

In your junior or senior year, you may take a seminar taught by a team of professors. For example, in a course on women’s rights, a professor of gender studies might team up with a professor of U.S. politics. In this class, you’d explore a range of theories on how gender and power are related. Seminars are usually small, leading to lively discussion. Expect to take on a major research project."
"1700729130-4","https://bigfuture.collegeboard.org/explore-careers/majors","Social Sciences
															
													
													Programs in social science focus on how individuals behave within society, how society works and the relationship between them.","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences","Major: Linguistics","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences/linguistics","The sentence that you are reading right now has a structure that can be taken apart and analyzed, just like sentences written in other languages have structures unique to them. Yet, since all humans are, after all, human, every language also contains universal linguistic elements.

Linguistics majors study how languages like Spanish, French, Korean, Hopi -- and even computer programming languages -- function and how people learn to speak and write in those languages.

Linguistics deals with the structure of language (including syntax, phonetics, and grammar), the relationships between languages, and the way languages change over time.

“I just really like language. I enjoy every aspect of it, be it reading or writing poetry, essays, and plays, or studying parts of speech and grammar.”Jon, senior, linguistics and English, University of Michigan

Are You Ready To...?

Record people speaking in order to study the way they use parts of speech
	Perhaps study in another country for a semester or a summer
	Diagram sentences written in unfamiliar languages
	Translate a computer programming language
It Helps To Be...

Interested in the way language works. If you like to look up the origins of words, guess where people are from by the way they speak, and play word games, this could be the major for you.

College Checklist

Does the program offer a B.A. or a B.S. in linguistics?
	Is there a linguistics department, or is linguistics part of another department, such as anthropology?
	How easy is it to double major?
	Does the college have a linguistics lab?
	Does the program offer a study-abroad program in which students can immerse themselves in a foreign language?
	Will you be able to do independent research?
Did You Know?

Many of the more than five thousand languages spoken in the world today may be extinct by the end of the century.

Course Spotlight

In an introductory linguistics course, you’ll get a taste of how diverse this major can be. One topic covered in class will be the ethnic and regional variations in speech. The professor might even ask you and your classmates to demonstrate. Other topics include the neurology of speech and the way people learn language in the first place. And don’t be surprised if you’re asked to analyze a sample of writing in a language you’ve never seen before."
"1700729132-5","https://bigfuture.collegeboard.org/explore-careers/majors","Social Sciences
															
													
													Programs in social science focus on how individuals behave within society, how society works and the relationship between them.","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences","Major: Liberal Arts and Sciences","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences/liberal-arts-sciences","The liberal arts and sciences major is not just another term for “undecided.” On the contrary, declaring this major takes a lot of initiative and determination. If you are truly passionate about learning and want to spend your college years exploring new ideas rather than preparing for a specific career, you might consider majoring in liberal arts and sciences.

Most liberal arts courses include a great deal of reading, writing, and discussion, and classes tend to be small. You’ll gain the ability to reason critically, communicate effectively, and understand relationships across broad fields of knowledge.

Students of liberal arts and sciences often design their own program of study. They take courses in the arts, the biological and physical sciences, the social sciences, and the humanities.

Did You Know?

Choosing this major is one way to prepare for a world in which new and unexpected careers are invented every day.

Are You Ready To...?

Make connections between different subjects and disciplines
	Choose electives to shape your focus
	Take core courses in different areas of the arts and sciences
	Discuss course work with other students and faculty
	Sharpen your speaking and writing skills
	Do lots of reading
It Helps To Be...

Self-motivated, curious, and open to trying new things that you might not excel at. You may love literature, but in this major, you’ll also have to take math and science classes.

College Checklist

Is this major housed in its own department, or is it pulled together from different departments?
	What are the backgrounds and interests of the faculty?
	What kinds of core courses are required?
	How easy is it to transfer to other majors?
	Is there a study-abroad program?
Did You Know?

The liberal arts and sciences program is typically offered only as an undergraduate major.

Course Spotlight

After taking the required courses, many liberal arts and sciences students work with a professor to design an independent study program in which they can blend their many interests. A student might propose a reading list and schedule of assignments, to be approved by the instructor. This opportunity to do self-directed research provides exactly the kind of freedom that most liberal arts and sciences majors relish. The final project is usually a long paper based on the student’s work during the term."
"1700729134-6","https://bigfuture.collegeboard.org/explore-careers/majors","Social Sciences
															
													
													Programs in social science focus on how individuals behave within society, how society works and the relationship between them.","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences","Major: Legal Studies","https://bigfuture.collegeboard.org/explore-careers/majors/public-social-services/legal-studies","Shortly after the September 11, 2001 terrorist attacks, President Bush signed the Patriot Act. This law made it easier for the government to guard against terrorist activity by allowing such tactics as search without notice. But many believe that the law endangers the civil rights of Americans and immigrants.

Do you think it makes sense to trade in some civil rights for greater protection against terrorism? Do you believe that the government's greater access to our private lives will make us safer? If you major in legal studies, you'll get a chance to examine all perspectives on important matters like these.

This major focuses on law and legal issues from the perspectives of the social sciences and humanities.

Did You Know?

Legal studies is a good prelaw major, though it doesn't increase your chances of getting into top law schools.

Are You Ready To...?

Consider studying abroad
	Join your school's legal studies association
	Write a lot of papers and possibly a senior thesis
	Analyze actual court cases
	Engage in intense discussion of thorny legal problems
	Shape your own curriculum by choosing many electives from a wide range of courses
It Helps To Be...

Fascinated by the relationship between law and society. You'll enjoy this major if you love learning about social, political, philosophical, and historical issues. Finally, you'll do well if you love to read and write.

College Checklist

Does the school have a legal studies department or does the major consist of courses taught in other departments such as political science?
	Does the school offer prelaw advising for students considering law school?
	Will you have the chance to complete a senior thesis?
	What are recent grads doing now?
Did You Know?

During the colonial period in parts of North America, prison was meant to be a penitentiary, a place where prisoners spent time alone with the Bible, doing penance.

Course Spotlight

In a course on legal research and writing, you'll learn how to read and understand court rulings and how to use legal resources such as digests (summaries of cases) and computer databases. In addition to a research paper, you might draft letters, memoranda, and legal briefs. You might even compose an op-ed piece to send to your local newspaper.

The skills and know-how you pick up will serve you whether you go on to graduate school or enter the work force upon graduation."
"1700729137-7","https://bigfuture.collegeboard.org/explore-careers/majors","Social Sciences
															
													
													Programs in social science focus on how individuals behave within society, how society works and the relationship between them.","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences","Major: Journalism","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences/journalism","Are you someone who can’t get enough of the latest headlines? Do you love the thrill of the chase? If so, you may want to consider majoring in journalism. With this degree, you could find yourself covering world events for a major newspaper or TV network, reporting on sports for a local radio station, or writing about entertainment on the Internet.

As a journalism major, you’ll not only master the art of reporting and writing, but you'll also learn about libel and other legal issues that affect the media. And you'll learn what it takes to survive in a tough, but often rewarding, business.

Journalism majors learn to report, write, and edit articles for publication or broadcast.

“Most students considering this major don’t realize that they will be required to write, write, write, whether they are in print news, broadcast news, or advertising/public relations.”Patsy G. Watkins, Associate Professor and Chair, Lemke Department of Journalism, University of Arkansas

Are You Ready To...?

Complete an internship
	Study libel laws
	Keep up with current events
	Learn to be an ace researcher
	Learn how to find and interview sources
	Sharpen your editing and computer skills
	Work on the school newspaper
It Helps To Be...

A quick study with a keen curiosity who can gather, absorb, and deliver information in the heat of a looming deadline: that’s what journalism is all about.

College Checklist

Is the department accredited by the Accrediting Council on Education in Journalism and Mass Communications?
	Will the program help you find an internship?
	Do the professors have enough field experience to provide valuable insights on what it’s like to be a working journalist?
	Does the department offer course work in your particular area of interest, for example, magazine writing?
	What's the school newspaper like? Get a copy, or visit the newspaper's website if there is one.
	Is there a campus radio station? TV station?
	Check out the equipment you’ll be working on. Do lab computers have up-to-date software? Is the campus newspaper office well equipped and in good condition?
“You’ve got to have the experience of working on the school paper. You don’t learn how to write well unless you do it every day.” -- Scott, senior, journalism, San Jose State University

Course Spotlight

Get ready to hit the ground running with a course in news writing and reporting. It’s a core requirement for virtually all journalism majors. This is boot camp for future journalists, where you’ll learn the basic skills of news gathering and writing -- all under deadline.

Cranking out stories under newsroom conditions is great training, and it’s also a good way to find out whether this is the major for you. So take this class early in your college career and test the waters."
"1700729139-8","https://bigfuture.collegeboard.org/explore-careers/majors","Social Sciences
															
													
													Programs in social science focus on how individuals behave within society, how society works and the relationship between them.","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences","Major: History","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences/history","You’ve probably heard older people talk about the “good old days.” But were they really all that good? Were people and ideas all that different? How did the good old days become today?

To answer questions like these, you’ll need to look for clues -- and not only in textbooks filled with dates and biographies. As a history major, you’ll find history in everything from a 1956 Elvis Presley poster to a 1934 ticket stub showing the price of a movie. You’ll even find it in last summer’s playlist of your favorite songs.

By the time you graduate, you’ll know how to decide for yourself what to think about the old days -- good or bad. And, perhaps more importantly, you’ll learn what those days can teach us about today and tomorrow.

History majors learn how to interpret objects and written documents from the past. They also read the works of published historians and evaluate their ideas.

“By mastering history you become a well-rounded person with a better understanding of cultures and trends.”Zach, sophomore, French, history, and journalism, Northwestern University

Are You Ready To...?

Learn a language
	Spend a semester away from your campus to do research
	Participate in class discussions
	Use your reading to form your own ideas
	Read -- history classes often require hundreds of pages a week
It Helps To Be...

Curious, organized, and a good reader and writer. You’ll do well as a history major if you’re able to take details and use them to draw a “big picture” of the past. 

College Checklist

Will you be able to study the areas of history in which you are most interested?
	Does the department focus mainly on traditional history, or is cultural history also included?
	Does the library have the academic journals and up-to-date multimedia resources (film, video, photos) that serious history majors need?
	Are there opportunities for internships and research experience with a local historical society or museum?
Did You Know?

History majors are often required to write a senior thesis (large research paper).

Course Spotlight

History majors are often required to take a course in research methods. This is the class where you’ll learn how to be a historian. You’ll learn where to find information, how to decide if a source is reliable, and how to compare different sources.

One assignment you might have is to put together a bibliography of sources on a specific subject. With this class under your belt, you’ll be ready to jump into your own research."
"1700729141-9","https://bigfuture.collegeboard.org/explore-careers/majors","Social Sciences
															
													
													Programs in social science focus on how individuals behave within society, how society works and the relationship between them.","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences","Major: Education","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences/education","Do you find yourself reading stories to younger kids or organizing games for your cousins at the family picnic? Do you feel proud when you've explained a difficult math problem to a friend and his face lights up with understanding?

If you major in education, you’ll develop your talents into the skills every teacher needs. You’ll find out how to set up and manage a classroom, design and teach inspiring lessons, and help students succeed no matter what their age, background, or learning style.

Education majors study how people learn and how to best teach them. Classes cover such topics as educational psychology, school health and safety issues, and the planning of classroom activities.

Did You Know?

To teach in many schools, including public schools, you'll need a teaching certificate. You may also need to focus your studies on a specialty such as special education or math.

Are You Ready To...?

Visit schools and classrooms and report on your observations
	Design lesson plans and practice teaching them in front of your classmates
	Spend a semester student teaching under the supervision of an experienced teacher
	Do paid or volunteer work as a camp counselor, coach, or tutor
It Helps To Be...

Patient, well organized, and flexible. This is a great major for someone who is fascinated by the learning process and who loves to spend time with young people.

College Checklist

Is the program accredited by the National Council for Accreditation of Teacher Education and approved by the state's department of education?
	Does the program allow undergraduates to major in education or only minor in it?
	What requirements do you have to fulfill in order to be certified to teach upon graduation?
	Will you be able to teach in states other than the one where the program is located?
	Does the program offer the specialization (such as elementary education) you want?
“Most of my assignments focus on analyzing classroom practices -- you tell why you like [a certain practice and] how you'd change it. Then you plan your own lessons and implement those plans.” -- Kau'i, senior, education, University of Hawaii

Course Spotlight

The semester you spend student teaching will be a valuable stepping-stone to your first teaching job. You'll build up to this challenging experience through plenty of classroom observations and hands-on teaching exercises. 

Before you graduate, you'll step into the classroom to try out your own lesson plans and classroom management techniques on real, live kids. The classroom teacher will give you feedback and guidance along the way. By the time you finish, you'll be champing at the bit to start your career."
"1700729143-10","https://bigfuture.collegeboard.org/explore-careers/majors","Social Sciences
															
													
													Programs in social science focus on how individuals behave within society, how society works and the relationship between them.","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences","Major: Digital Communications and Multimedia","https://bigfuture.collegeboard.org/explore-careers/majors/social-sciences/digital-communications-multimedia","The prefix multi means “many” -- and as a student of digital communications and multimedia, you’ll have a chance to master far more forms of digital media than you might have imagined. As you learn the basics of computer programming, graphic design, and audio and video production, you’ll create computer animation, build websites, and put together CD-ROMs and DVDs.

And that’s not all: you’ll also study the business of multimedia, including marketing, law, and distribution. There’s a lot to learn, but digital-media specialists are in demand in nearly every corner of the business world. Those late nights in the computer lab should be well worth your time.

Students of digital communications and multimedia learn the technical, creative, and business skills necessary to design, develop, market, and manage digital media.

“Almost anyone with an interest in technology can find an enjoyable area of concentration [in digital media].”Joel A. Kline, Assistant Professor of Business & Economics and Director, Digital Communications Program, Lebanon Valley College

Are You Ready To...?

Memorize media law
	Troubleshoot tech glitches
	Spend long hours in the computer lab
	Master multiple types of media
	Think critically about projects -- yours and others’
It Helps To Be...

Crazy about computers. You’ll have to master a lot of software in this major. Creativity and strong communication skills are also key.

College Checklist

Does the program offer a concentration in your area of interest, such as design, ecommerce, or writing for digital media?
	Does the program focus more on design or on technical skills?
	Are the labs up-to-date with the most current software?
	Will you have the chance to create a senior project? What kind of help will you get with it?
	Will the department help you find work after graduation?
	What are recent grads doing now?
“Take advantage of internship opportunities, because that is definitely the best way to get your foot in the door in this industry.” -- Ben, B.A. in digital media and production assistant for a motion design house

Course Spotlight

In a class on digital animation, you’ll learn to use the latest animation software to create digital movies. Once you’ve learned to navigate the software, you’ll try your hand at creating animation with original art as well as with imported graphics and video. 

Your professor will probably expect you to demonstrate your skills in Web and CD formats. You can expect a final project, so be sure to save some of your creative juices for a big finale."
